customerid,age,gender,income,occupation,location,householdsize,accounttype,accounttenureyears,avgbalance,balancevolatility,loantype,loanamount,creditscore,creditutilizationratio,delinquencycount,monthlytransactions,digitalusage,channelpreference,dormantdays,revenuecontribution,crosssellindex,salarypattern,spendcategory,cluster,segment_name,value_tier,risk_level,digital_level,engagement_status,life_stage,financial_health,product_potential,channel_type,income_category
CUST1071,59,Female,164475,Student,Hyderabad,5,Current,7,150369.0,1.71,None,0.0,324,0.51,1,29,48,Branch,15,16193.0,0,Stable,Luxury,1,Standard Savers,Bronze,Low Risk,Digital Adopter,Active,Pre-Retirement,Fair,High Cross-sell,Relationship Banking,Upper Middle
CUST1072,21,Female,52097,Retired,Delhi,3,Current,10,31448.0,1.55,Auto,162982.0,416,0.84,1,172,46,Mobile,65,93389.0,2,Stable,Utilities,3,Retirement Planners,Gold,High Risk,Digital Adopter,Highly Active,Young Professional,Fair,Medium Cross-sell,Digital First,Middle Income
CUST1073,46,Male,162038,Salaried,Delhi,3,Overdraft,3,289316.0,1.29,Personal,298185.0,781,0.73,1,92,83,Mobile,144,45864.0,1,Irregular,E-commerce,3,Retirement Planners,Silver,Medium Risk,Digital Native,At Risk,Pre-Retirement,Good,Medium Cross-sell,Digital First,Upper Middle
CUST1074,35,Male,144862,Retired,Bangalore,1,Current,16,437090.0,0.35,Personal,351064.0,691,0.54,2,18,81,Branch,161,21307.0,2,Irregular,Travel,3,Retirement Planners,Bronze,Medium Risk,Digital Native,At Risk,Established Professional,Fair,Medium Cross-sell,Relationship Banking,Upper Middle
CUST1075,43,Female,138834,Student,Mumbai,2,Savings,6,8657.0,0.16,Auto,327825.0,836,0.59,4,158,17,ATM,233,20611.0,0,Irregular,Mixed,0,Premium Loyalists,Bronze,High Risk,Traditional,Dormant,Established Professional,Good,High Cross-sell,Self Service,Upper Middle
CUST1076,61,Male,113848,Salaried,Hyderabad,2,Savings,7,478602.0,1.85,Home,234386.0,378,0.51,3,106,65,Web,143,44791.0,0,Stable,Mixed,1,Standard Savers,Silver,Medium Risk,Digital Adopter,At Risk,Retired,Fair,High Cross-sell,Digital First,Upper Middle
CUST1077,51,Female,72921,Retired,Mumbai,5,FD,2,257689.0,1.27,Auto,343715.0,879,0.3,3,154,67,Mobile,357,12950.0,4,Stable,E-commerce,4,Growth Seekers,Bronze,Medium Risk,Digital Adopter,Dormant,Pre-Retirement,Good,Low Cross-sell,Digital First,Middle Income
CUST1078,27,Female,146141,Salaried,Mumbai,2,Savings,1,419641.0,1.61,None,0.0,472,0.57,2,180,93,Web,187,77240.0,0,Stable,Luxury,2,Digital Seniors,Gold,Medium Risk,Digital Native,Dormant,Young Professional,Fair,High Cross-sell,Digital First,Upper Middle
CUST1079,53,Male,42677,Student,Bangalore,4,Overdraft,14,420901.0,1.01,Home,461792.0,311,0.69,1,87,32,ATM,321,78403.0,2,Stable,Travel,4,Growth Seekers,Gold,Medium Risk,Traditional,Dormant,Pre-Retirement,Fair,Medium Cross-sell,Self Service,Lower Income
CUST1080,31,Male,75609,Retired,Hyderabad,2,Savings,4,375999.0,0.32,Personal,260337.0,427,0.87,2,114,35,ATM,12,3745.0,3,Stable,Mixed,3,Retirement Planners,Bronze,High Risk,Traditional,Highly Active,Established Professional,Poor,Low Cross-sell,Self Service,Middle Income
CUST1081,48,Female,51024,Salaried,Hyderabad,5,Savings,0,418794.0,0.34,Auto,127556.0,391,0.64,2,183,81,Web,183,56243.0,3,Stable,Mixed,2,Digital Seniors,Gold,Medium Risk,Digital Native,Dormant,Pre-Retirement,Poor,Low Cross-sell,Digital First,Middle Income
CUST1082,65,Female,90313,Student,Chennai,2,Overdraft,3,160903.0,1.4,Sme,195246.0,842,0.76,0,135,18,ATM,110,4866.0,4,Stable,Luxury,3,Retirement Planners,Bronze,Medium Risk,Traditional,At Risk,Retired,Good,Low Cross-sell,Self Service,Middle Income
CUST1083,32,Male,147813,Salaried,Mumbai,4,Current,14,8906.0,0.92,Sme,26160.0,831,0.16,4,174,27,Mobile,289,33245.0,2,Stable,E-commerce,0,Premium Loyalists,Silver,High Risk,Traditional,Dormant,Established Professional,Good,Medium Cross-sell,Digital First,Upper Middle
CUST1084,25,Female,115285,Salaried,Mumbai,1,Current,19,324557.0,0.48,None,0.0,746,0.46,3,23,39,Web,294,45724.0,2,Irregular,Travel,0,Premium Loyalists,Silver,Medium Risk,Traditional,Dormant,Young Professional,Good,Medium Cross-sell,Digital First,Upper Middle
CUST1085,31,Male,166410,Self-Employed,Delhi,5,Overdraft,18,55028.0,1.03,Sme,17633.0,689,0.01,1,32,83,ATM,214,72354.0,0,Stable,E-commerce,0,Premium Loyalists,Gold,Low Risk,Digital Native,Dormant,Established Professional,Good,High Cross-sell,Self Service,Upper Middle
CUST1086,40,Female,133632,Self-Employed,Chennai,1,FD,2,270431.0,0.22,Auto,488096.0,342,0.25,3,177,96,Web,119,52374.0,2,Irregular,E-commerce,2,Digital Seniors,Gold,Medium Risk,Digital Native,At Risk,Established Professional,Fair,Medium Cross-sell,Digital First,Upper Middle
CUST1087,57,Male,170580,Student,Delhi,1,Savings,19,296804.0,1.21,Auto,279158.0,553,0.73,3,75,75,Mobile,54,31116.0,1,Stable,Travel,3,Retirement Planners,Silver,Medium Risk,Digital Native,Active,Pre-Retirement,Poor,Medium Cross-sell,Digital First,Upper Middle
CUST1088,38,Male,23051,Self-Employed,Delhi,1,Overdraft,10,469974.0,0.61,Sme,342676.0,429,0.99,4,67,14,ATM,26,82029.0,0,Stable,Travel,3,Retirement Planners,Gold,High Risk,Traditional,Active,Established Professional,Poor,High Cross-sell,Self Service,Lower Income
CUST1089,33,Male,199819,Student,Delhi,3,Savings,16,323648.0,1.62,Auto,49104.0,359,0.1,3,77,40,Mobile,117,94574.0,1,Stable,Mixed,1,Standard Savers,Gold,Medium Risk,Traditional,At Risk,Established Professional,Fair,Medium Cross-sell,Digital First,Upper Middle
CUST1090,62,Female,134692,Self-Employed,Bangalore,3,FD,12,191792.0,0.69,None,0.0,766,0.4,3,128,38,ATM,220,21447.0,4,Stable,Mixed,0,Premium Loyalists,Bronze,Medium Risk,Traditional,Dormant,Retired,Good,Low Cross-sell,Self Service,Upper Middle
CUST1091,35,Female,107235,Salaried,Bangalore,1,Savings,10,103979.0,0.96,Home,339375.0,586,0.8,2,123,1,Branch,230,31431.0,3,Stable,Travel,3,Retirement Planners,Silver,Medium Risk,Traditional,Dormant,Established Professional,Poor,Low Cross-sell,Relationship Banking,Upper Middle
